station name,lat,long,routes served,Districts/Neighborhoods,income,hardshipIndex,projectedPoint,Wrigleyville,may_20_avg_weekday_rides,apr_20_avg_weekday_rides,feb_20_avg_weekday_rides,jan_20_avg_weekday_rides,prePanAvgRidership,JanFeb20AvgRidership,postPanAvgRidership,lockdownRelativeAvg,postPanRelativeAvg,avg_weekday_ridership_jun_23,avg_weekday_ridership_jul_23,avg_weekday_ridership_aug_23,avg_weekday_ridership_sept_23,avg_weekday_ridership_oct_23,post_pan_avg,previous avg
Howard,42.018993,-87.672673,"purple, red, yellow, purple express",Rogers Park,29682,,,,1354.9,1307.5,4883.6,4801.2,5583.893333,4842.4,3067.76,0.2749050058,0.5493944488,2974.4,2893.3,3082.7,3195.5,3192.9,3067.76,5583.893333
Jarvis,42.015937,-87.66919,red,Rogers Park,29682,40.9,,,276.8,293.7,1387.2,1359.3,1573.006667,1373.25,994.74,0.207718915,0.6323812995,900.1,941.1,995.5,1087.3,1049.7,994.74,1573.006667
Morse,42.007861,-87.66563,red,Rogers Park,29682,40.9,,,723.4,701.4,4162.7,4119.4,4584.46,4141.05,2356.04,0.172033663,0.5139187603,2182.4,2203.1,2304.1,2553.8,2536.8,2356.04,4584.46
Loyola,42.001423,-87.66086,red,Rogers Park,29682,39,,,621.2,626.8,5355.7,4869.3,5321.066667,5112.5,3101.98,0.1220537897,0.5829620627,2434.1,2461.1,2841.9,3985.8,3787,3101.98,5321.066667
Granville,41.994424,-87.659195,red,Edgewater,42486,19,,,486.9,496.8,3601.7,3533.1,3917.12,3567.4,2177.62,0.1378735213,0.5559237399,1816.7,1827.6,1989.6,2632.5,2621.7,2177.62,3917.12
Thorndale,41.990129,-87.659041,red,Edgewater,42486,19,,,385.6,363.6,2761.5,2743,3060.893333,2752.25,1744.78,0.1361068217,0.5700231305,1483,1445.9,1783.5,2019.9,1991.6,1744.78,3060.893333
Bryn Mawr,41.983507,-87.658845,red,Edgewater,42486,19,,,598.2,605.5,4174.4,4251.6,4675.766667,4213,1948.8,0.1428554474,0.4167872648,2248.4,2170.8,1642.2,1849.4,1833.2,1948.8,4675.766667
Berwyn,41.978071,-87.658695,red,Edgewater,42486,19,,,481.6,535.3,2993.1,2975,3352.233333,2984.05,closed for reconstruction,0.1703892361,0,closed for reconstruction,0,0,0,0,0,3352.233333
Argyle,41.973426,-87.658574,red,Uptown,42112,20,,,446.2,462.7,2820.2,2891.6,3115.333333,2855.9,2639.92,0.1591267201,0.8473956773,2486,2467.7,2698.9,2782.3,2764.7,2639.92,3115.333333
Lawrence,41.968894,-87.658423,red,Uptown,42112,20,,,380.3,396.2,2722.2,2736.3,3287.073333,2729.25,closed for reconstruction,0.1422551983,0,closed for reconstruction,0,0,0,0,0,3287.073333
Wilson,41.965459,-87.657974,"purple, red",Uptown,42112,20,,,1142.7,1115.3,6501.6,6236.3,6389.5,6368.95,5244.3,0.1772662684,0.8207684482,4844.5,4781.4,5070.8,5766,5758.8,5244.3,6389.5
Sheridan,41.95397,-87.654728,red,Wrigleyville,74366,13.5,,,420.3,417.3,4639,4632,5274.326667,4635.5,2706.7,0.09034624097,0.5131839894,2588,2398,2763,2920.5,2864,2706.7,5274.326667
Addison-North Main,41.947302,-87.653621,red,Lake View,74366,13.5,,0.5687432465,476.1,491.3,6090.9,5971.3,9888.12,6031.1,5983.74,0.08020095837,0.605144355,6908.6,5741.4,6792.7,6183.3,4292.7,5983.74,9888.12
Belmont-North Main,41.939757,-87.653326,"brown, purple, red",Lake View,74366,13.5,,,988.8,912.9,10902.8,10974.7,12063.24667,10938.75,6701.14,0.08692492287,0.5555005369,6628.8,6219,6715.4,6936.4,7006.1,6701.14,12063.24667
Fullerton,41.925269,-87.652796,"brown, purple, red",Sheffield & DePaul,90189,11.4,,0.6144811273,703,684.1,13282.5,12980.3,12133.03333,13131.4,7455.52,0.0528161506,0.6144811273,6158,5457.6,6113,9816.7,9732.3,7455.52,12133.03333
North/Clybourn,41.910683,-87.648866,red,River North,104139,9.4,,,532.6,530.3,5105.9,5199.2,5743.06,5152.55,3037.16,0.1031431039,0.528840026,2842.9,2794.2,3031.4,3252.5,3264.8,3037.16,5743.06
Clark/Division,41.903886,-87.632775,red,Gold Coast,104139,9.4,,0.5839484241,796.7,865.1,7112.9,7083.2,8064.753333,7098.05,4709.4,0.1170603194,0.5839484241,4549.6,4338.5,4811.7,4962.2,4885,4709.4,8064.753333
Chicago/State,41.896686,-87.627929,red,Rush & Division,104139,9.4,,0.5115179835,1195.2,1213.1,12681.6,12422.9,15194.5,12552.25,7772.26,0.09593100838,0.5115179835,7353.5,7258.6,7758.2,8323.5,8167.5,7772.26,15194.5
